rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
71,22623,Rashod Bateman,BAL,WR,12,0,0,0,0,0,46,515,1,0,0,0,0,8.6,103.5
72,16781,Nelson Agholor,NE,WR,15,0,0,0,11,0,37,473,3,0,0,0,0,6.9,103.4
73,21448,Jalen Guyton,LAC,WR,16,0,0,0,34,0,31,448,3,0,0,0,0,6.1,97.2
74,19172,Zach Pascal,IND,WR,16,0,0,0,21,0,38,384,3,0,0,0,0,5.9,94.5
75,13227,Randall Cobb,GB,WR,12,0,0,0,1,0,28,375,5,0,0,0,0,7.8,93.6
76,22613,Joshua Palmer,LAC,WR,17,0,0,0,6,0,33,353,4,0,0,0,0,5.5,92.9
77,19867,Michael Gallup,DAL,WR,9,0,0,0,0,0,35,445,2,0,0,0,0,10.2,91.5
78,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,2,0,31,406,3,0,0,0,0,5.3,89.8
79,18977,Kenny Golladay,NYG,WR,14,0,0,0,0,0,37,521,0,0,0,0,0,6.4,89.1
80,19897,Tre'Quan Smith,NO,WR,11,0,0,0,0,0,32,377,3,0,0,0,0,8.0,87.7
81,16263,Allen Robinson II,CHI,WR,12,0,0,0,0,0,38,410,1,0,0,0,0,7.2,87.0
82,19976,Marquez Valdes-Scantling,GB,WR,11,0,0,0,0,0,26,430,3,0,0,0,0,7.9,87.0
83,21960,Freddie Swain,SEA,WR,17,0,0,0,32,0,25,343,4,0,0,0,0,5.1,86.5
84,21692,Jerry Jeudy,DEN,WR,10,0,0,0,3,0,38,467,0,0,0,0,0,8.5,85.0
85,21694,Henry Ruggs III,LV,WR,7,0,0,0,16,0,24,469,2,0,0,0,0,12.1,84.5
86,21756,Nico Collins,HOU,WR,14,0,0,0,0,0,33,446,1,0,0,0,0,6.0,83.6
87,21721,Devin Duvernay,BAL,WR,16,0,0,0,50,1,33,272,2,0,0,0,0,5.2,83.2
88,17914,Laquon Treadwell,JAX,WR,12,0,0,0,0,0,33,434,1,0,0,0,0,6.9,82.4
89,22614,Kadarius Toney,NYG,WR,10,19,0,0,6,0,39,420,0,0,0,0,0,8.2,82.4
90,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,24,282,5,0,0,0,0,5.1,82.2
91,19017,Josh Reynolds,DET,WR,12,0,0,0,0,0,29,396,2,0,0,0,0,6.7,80.6
92,17218,DeAndre Carter,WAS,WR,17,0,0,0,89,0,24,296,3,0,0,0,0,4.7,80.5
93,13291,Julio Jones,TEN,WR,10,0,0,0,0,0,31,434,1,0,0,0,0,8.0,80.4
94,17290,Adam Humphries,WAS,WR,17,0,0,0,0,0,41,383,0,0,0,0,0,4.7,79.3
95,19514,Keelan Cole Sr.,NYJ,WR,15,0,0,0,0,0,28,449,1,0,0,0,0,5.3,78.9
96,21686,Jalen Reagor,PHI,WR,17,0,0,0,32,0,33,299,2,0,0,0,0,4.6,78.1
97,17961,Sterling Shepard,NYG,WR,7,0,0,0,-9,0,36,366,1,0,0,0,0,11.1,77.7
98,3943,DeSean Jackson,LV,WR,16,0,0,0,4,0,20,454,2,0,0,0,0,4.7,75.8
99,14005,T.Y. Hilton,IND,WR,10,0,0,0,0,0,23,331,3,0,0,0,0,7.4,74.1
100,21675,Tyler Johnson,TB,WR,17,0,0,0,0,0,36,360,0,0,0,0,0,4.2,72.0
101,19802,Calvin Ridley,ATL,WR,5,0,0,0,0,0,31,281,2,0,0,0,0,14.2,71.1
102,16003,Sammy Watkins,BAL,WR,13,0,0,0,0,0,27,394,1,0,0,0,0,5.4,70.4
103,19044,Jamal Agnew,JAX,WR,10,0,0,0,111,1,24,229,1,0,0,0,0,7.0,70.0
104,18047,Demarcus Robinson,KC,WR,17,0,0,0,0,0,25,264,3,0,0,0,0,4.1,69.4
105,9906,Danny Amendola,HOU,WR,8,0,0,0,0,0,24,248,3,0,0,0,0,8.6,68.8
106,20943,Darius Slayton,NYG,WR,13,0,0,0,-13,0,26,339,2,0,0,0,0,5.3,68.6
107,19961,Ray-Ray McCloud,PIT,WR,16,0,0,0,15,0,39,277,0,0,0,0,0,4.1,66.2
108,19865,James Washington,PIT,WR,15,0,0,0,13,0,24,285,2,0,0,0,0,4.4,65.8
109,18361,Chester Rogers,TEN,WR,16,0,0,0,9,0,30,301,1,0,0,0,0,4.1,65.0
110,17141,Damiere Byrd,CHI,WR,17,0,0,0,0,0,26,329,1,0,0,0,0,3.8,64.9
111,16837,Chris Conley,HOU,WR,16,0,0,0,3,0,22,323,2,0,0,0,0,4.0,64.6
112,19023,Mack Hollins,MIA,WR,17,0,0,0,0,0,14,223,4,0,0,0,0,3.5,60.3
113,20979,Antoine Wesley,ARI,WR,15,0,0,0,0,0,19,208,3,0,0,0,0,3.9,57.8
114,18089,Rashard Higgins,CLE,WR,15,0,0,0,0,0,24,275,1,0,0,0,0,3.8,57.5
