rank,id,player,team,pos,gp,snaps,snaps_per_gp,snap_pct,rush_per_snap,rush_share,tgt_per_snap,tgt_share,touch_per_snap,util_per_snap,fpts_ppr,fpts_ppr_per_snap
20,16906,Stefon Diggs,BUF,WR,17,977,57.5,.82,0.0,.00,16.9,.26,10.5,16.9,285.5,29.2
21,18880,Chris Godwin,TB,WR,14,833,59.5,.85,0.5,.01,15.4,.18,12.2,15.8,242.4,29.1
22,22592,Elijah Moore,NYJ,WR,11,476,43.3,.46,1.1,.01,16.2,.13,10.1,17.2,138.2,29.0
23,16597,Mike Evans,TB,WR,16,915,57.2,.77,0.1,.00,12.5,.16,8.2,12.6,262.5,28.7
24,20013,Cedrick Wilson Jr.,DAL,WR,16,528,33.0,.43,0.4,.00,11.6,.10,9.5,12.5,147.8,28.0
25,16568,Brandin Cooks,HOU,WR,16,831,51.9,.78,0.2,.01,16.1,.27,11.1,16.4,231.8,27.9
26,22587,Amon-Ra St. Brown,DET,WR,17,816,48.0,.74,0.9,.02,14.6,.21,11.9,15.4,227.3,27.9
27,21077,Diontae Johnson,PIT,WR,16,987,61.7,.84,0.5,.01,17.1,.25,11.3,17.6,274.4,27.8
28,18914,Mike Williams,LAC,WR,16,896,56.0,.75,0.0,.00,14.4,.20,8.5,14.4,246.6,27.5
29,22614,Kadarius Toney,NYG,WR,10,301,30.1,.27,1.0,.01,18.9,.10,15.0,20.9,82.4,27.4
30,22598,Jaylen Waddle,MIA,WR,16,903,56.4,.78,0.2,.00,15.6,.23,11.7,15.8,245.8,27.2
31,19044,Jamal Agnew,JAX,WR,10,260,26.0,.41,2.7,.02,15.0,.07,11.9,17.7,70.0,26.9
32,20006,Russell Gage,ATL,WR,14,612,43.7,.58,0.0,.00,15.4,.17,10.8,15.4,163.0,26.6
33,15076,Keenan Allen,LAC,WR,16,972,60.8,.81,0.0,.00,16.2,.24,11.0,16.3,257.8,26.5
34,21679,CeeDee Lamb,DAL,WR,16,882,55.1,.72,1.0,.02,13.6,.19,10.0,14.6,232.8,26.4
35,15534,Adam Thielen,MIN,WR,13,758,58.3,.73,0.1,.00,12.5,.16,9.0,12.7,199.8,26.4
36,14986,DeAndre Hopkins,ARI,WR,10,560,56.0,.64,0.0,.00,11.4,.11,7.5,11.4,147.2,26.3
