rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
70,19976,Marquez Valdes-Scantling,GB,WR,26,430,3,69.7,62.8,17.4,960,87.3,37,55,8,4,6.0,14.6,1.6
71,22614,Kadarius Toney,NYG,WR,39,420,0,53.2,48.0,6.3,358,35.8,9,57,5,1,7.0,16.2,1.4
72,16263,Allen Robinson II,CHI,WR,38,410,1,81.6,81.7,10.2,674,56.2,18,66,6,5,6.4,19.2,1.3
73,21142,Olamide Zaccheaus,ATL,WR,31,406,3,60.4,59.2,9.2,487,28.6,16,53,8,5,6.7,9.8,1.7
74,19017,Josh Reynolds,DET,WR,29,396,2,68.9,60.1,13.1,641,53.4,22,49,5,5,6.8,13.0,1.6
75,19172,Zach Pascal,IND,WR,38,384,3,89.0,80.3,8.6,593,37.1,16,69,13,5,7.1,14.6,1.4
76,13227,Randall Cobb,GB,WR,28,375,5,51.4,47.6,7.9,307,25.6,11,39,14,9,7.9,9.9,2.4
77,17961,Sterling Shepard,NYG,WR,36,366,1,78.5,73.9,6.1,325,46.4,9,53,9,1,6.3,21.0,1.5
78,21675,Tyler Johnson,TB,WR,36,360,0,48.6,51.5,7.9,436,25.6,12,55,9,4,7.0,7.7,1.3
79,22613,Joshua Palmer,LAC,WR,33,353,4,40.1,39.0,8.7,425,25.0,13,49,8,4,7.2,7.5,1.9
80,21960,Freddie Swain,SEA,WR,25,343,4,67.7,58.1,8.0,319,18.8,13,40,3,2,7.5,8.4,2.2
81,20943,Darius Slayton,NYG,WR,26,339,2,71.6,63.5,11.2,652,50.1,25,58,2,3,6.2,13.6,1.2
82,16837,Chris Conley,HOU,WR,22,323,2,52.6,59.2,9.9,365,22.8,17,37,2,2,6.4,7.6,1.7
83,14865,Marquise Goodwin,CHI,WR,20,313,1,51.3,44.7,12.5,501,35.8,25,40,3,2,5.9,9.6,1.4
84,21686,Jalen Reagor,PHI,WR,33,299,2,74.5,66.8,8.8,505,29.7,15,57,5,2,7.2,12.2,1.4
85,17218,DeAndre Carter,WAS,WR,24,296,3,40.0,45.1,10.7,462,27.2,19,43,4,4,6.5,8.1,2.0
86,21717,Jauan Jennings,SF,WR,24,282,5,36.3,32.5,8.2,322,20.1,13,39,8,3,7.7,9.0,2.1
87,19802,Calvin Ridley,ATL,WR,31,281,2,95.0,90.8,9.9,517,103.4,17,52,11,4,7.3,27.4,1.4
88,19961,Ray-Ray McCloud,PIT,WR,39,277,0,51.4,47.6,5.8,384,24.0,10,66,10,2,5.9,10.8,1.0
89,21721,Devin Duvernay,BAL,WR,33,272,2,56.3,51.2,6.2,292,18.2,9,47,8,4,7.5,8.7,1.8
90,18047,Demarcus Robinson,KC,WR,25,264,3,60.7,56.1,10.8,442,26.0,18,41,4,6,7.1,6.5,1.7
91,20816,Lil'Jordan Humphrey,NO,WR,13,249,2,41.1,33.5,10.4,188,18.8,14,18,1,1,7.6,6.8,2.8
92,19044,Jamal Agnew,JAX,WR,24,229,1,47.2,41.8,7.0,281,28.1,12,40,3,2,6.7,11.5,1.9
93,18030,Chris Moore,HOU,WR,21,227,2,30.1,32.5,5.0,109,9.1,5,22,2,0,8.6,6.1,2.5
94,19023,Mack Hollins,MIA,WR,14,223,4,31.4,29.4,13.4,376,22.1,27,28,8,6,6.2,4.7,2.1
95,20529,Cam Sims,WAS,WR,15,211,2,32.8,31.5,11.9,274,19.6,18,23,4,4,7.0,5.5,2.1
96,21723,James Proche II,BAL,WR,16,202,0,26.8,19.7,9.3,186,13.3,12,20,1,0,7.1,4.2,1.8
97,19080,Noah Brown,DAL,WR,16,184,0,28.9,31.0,9.6,240,18.5,15,25,2,0,7.2,5.4,1.4
98,20792,N'Keal Harry,NE,WR,12,184,0,33.3,41.1,14.4,316,26.3,26,22,1,1,7.0,6.3,1.3
99,19043,Isaiah McKenzie,BUF,WR,20,178,1,22.1,24.3,6.2,160,10.7,8,26,5,1,8.3,4.6,2.0
