rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
188,21964,Cody White,PIT,WR,1,1,2,0,3.5,0.0,100.0,0,0,,2.0,2.0,1.0,0.0,0.0
189,22683,Jacob Harris,LAR,WR,1,1,6,0,0.0,0.0,0.0,0,0,,6.0,6.0,0.0,0.0,0.0
190,20838,Tyron Billy-Johnson,HOU,WR,1,1,8,0,4.9,0.0,100.0,0,0,,8.0,8.0,0.5,0.0,0.0
191,22635,Jalen Camp,HOU,WR,1,1,7,0,5.0,1.0,100.0,1,1,1.0,7.0,7.0,1.4,0.0,0.0
192,24073,Maurice Alexander,DET,WR,1,1,7,0,3.0,2.0,0.0,0,0,,7.0,7.0,1.8,0.0,0.0
193,22644,DJ Turner,LV,WR,1,0,0,0,4.0,0.0,0.0,0,0,,0.0,0.0,0.0,1.0,100.0
194,22594,Frank Darby,ATL,WR,1,1,15,0,6.6,2.0,100.0,0,0,,15.0,15.0,0.9,0.0,0.0
195,18197,Alex Erickson,WAS,WR,0,0,0,0,4.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
196,21743,Lynn Bowden Jr.,NE,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
197,23302,Britain Covey,PHI,WR,0,0,0,0,3.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
198,7651,Matthew Slater,NE,WR,0,0,0,0,5.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
199,21368,Trinity Benson,DET,WR,0,0,0,0,8.3,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
200,22345,Dan Chisena,MIN,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
201,22568,Cornell Powell,KC,WR,0,0,0,0,7.5,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
202,21675,Tyler Johnson,HOU,WR,0,0,0,0,5.5,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
203,22591,Dez Fitzpatrick,TEN,WR,0,0,0,0,4.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
204,16141,Willie Snead IV,SF,WR,0,0,0,0,7.2,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
