rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
148,21982,Patrick Queen,BAL,ILB,17,0,0,0,0,0,0,0,0,4,1,1,1,8.7,148.0
149,22003,Logan Wilson,CIN,LB,17,0,0,0,0,0,0,0,0,1,4,3,0,8.7,147.5
150,21693,Joe Burrow,CIN,QB,10,2309,15,6,88,0,0,0,0,0,0,0,0,14.7,147.2
151,19073,Harrison Butker,KC,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.6,147.0
152,20889,Kyler Murray,ARI,QB,8,1799,10,5,244,3,0,0,0,0,0,0,0,18.3,146.4
153,17215,Jason Myers,SEA,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.6,146.0
154,22546,Rhamondre Stevenson,NE,RB,12,0,0,0,619,4,38,238,0,0,0,0,0,12.1,145.7
155,17986,Tyler Boyd,CIN,WR,17,0,0,1,11,0,67,667,2,0,0,0,0,8.5,144.8
156,21046,Jake Browning,CIN,QB,9,1936,12,7,127,3,1,-7,0,0,0,0,0,16.0,144.4
157,18964,Alex Anzalone,DET,LB,16,0,0,0,0,0,0,0,0,3,0,0,1,9.0,144.2
158,22729,Camryn Bynum,MIN,S,17,0,0,0,0,0,0,0,0,1,2,3,0,8.5,143.7
159,19238,Taysom Hill,NO,QB,16,83,1,0,401,4,33,291,2,0,0,0,0,9.0,143.5
160,16093,C.J. Mosley,NYJ,LB,17,0,0,0,0,0,0,0,0,1,1,2,1,8.4,143.5
161,20411,Frankie Luvu,CAR,LB,17,0,0,0,0,0,0,0,0,6,0,2,0,8.4,143.2
162,24506,Blake Grupe,NO,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.4,142.0
163,23567,Cameron Dicker,LAC,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.4,142.0
164,21692,Jerry Jeudy,DEN,WR,16,0,0,0,0,0,54,758,2,0,0,0,0,8.9,141.8
165,18807,Myles Garrett,CLE,DE,16,0,0,0,0,0,0,0,0,14,0,4,1,8.8,140.7
166,20033,Jason Sanders,MIA,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.2,140.0
167,21929,Josh Metellus,MIN,S,17,0,0,0,0,0,0,0,0,3,1,4,1,8.2,139.7
168,14867,Dustin Hopkins,CLE,K,15,0,0,0,0,0,0,0,0,0,0,0,0,9.3,139.0
169,17933,DeForest Buckner,IND,DT,17,0,0,0,0,0,0,0,0,8,0,2,1,8.1,137.8
170,23250,Tyler Allgeier,ATL,RB,17,0,0,0,683,4,18,193,1,0,0,0,0,8.1,137.6
171,21690,Tee Higgins,CIN,WR,12,0,0,0,0,0,42,656,5,0,0,0,0,11.5,137.6
172,22508,Kyle Pitts,ATL,TE,17,0,0,0,-4,0,53,667,3,0,0,0,0,8.1,137.3
173,23605,DaRon Bland,DAL,CB,17,0,0,0,0,0,0,0,0,0,9,0,0,8.1,137.0
174,19863,Dallas Goedert,PHI,TE,14,0,0,0,1,0,59,592,3,0,0,0,0,9.7,136.3
175,18981,Trey Hendrickson,CIN,DE,17,0,0,0,0,0,0,0,0,18,0,3,0,8.0,135.7
176,19837,Derwin James Jr.,LAC,S,16,0,0,0,0,0,0,0,0,2,1,0,2,8.5,135.6
177,19803,Mark Andrews,BAL,TE,10,0,0,0,0,0,45,544,6,0,0,0,0,13.5,135.4
178,14996,Brandon McManus,JAX,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.9,135.0
179,22696,Jeremiah Owusu-Koramoah,CLE,LB,16,0,0,0,0,0,0,0,0,4,2,1,0,8.4,134.9
180,19045,Aaron Jones,GB,RB,11,0,0,0,656,2,30,233,1,0,0,0,0,12.3,134.9
181,21045,Marquise Brown,ARI,WR,14,0,0,0,23,0,51,574,4,0,0,0,0,9.6,134.7
182,20713,Nick Bosa,SF,DL,17,0,0,0,0,0,0,0,0,11,0,2,1,7.9,134.3
183,21542,Chase McLaughlin,TB,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.9,134.0
184,21134,Kaden Elliss,ATL,ILB,17,0,0,0,0,0,0,0,0,4,0,0,0,7.9,133.6
185,20868,Alexander Mattison,MIN,RB,16,0,0,0,700,0,30,192,3,0,0,0,0,8.3,133.2
186,23170,Wan'Dale Robinson,NYG,WR,15,0,0,0,87,1,60,525,1,0,0,0,0,8.9,133.2
187,21900,Justin Madubuike,BAL,DT,17,0,0,0,0,0,0,0,0,13,0,2,0,7.8,132.9
188,22592,Elijah Moore,CLE,WR,17,0,0,0,11,0,59,640,2,0,0,0,0,7.8,132.1
189,22908,Evan McPherson,CIN,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.8,132.0
190,21936,Xavier McKinney,NYG,S,17,0,0,0,0,0,0,0,0,1,3,1,2,7.7,130.3
191,14697,Greg Zuerlein,NYJ,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,130.0
192,16806,Eric Kendricks,LAC,LB,15,0,0,0,0,0,0,0,0,4,0,1,0,8.7,129.9
193,23263,Kyle Hamilton,BAL,S,15,0,0,0,0,0,0,0,0,3,4,1,0,8.6,129.6
194,22005,Jordyn Brooks,SEA,LB,16,0,0,0,0,0,0,0,0,5,1,1,1,8.1,129.4
195,20956,Montez Sweat,CHI,DE,17,0,0,0,0,0,0,0,0,13,0,2,0,7.6,129.3
196,19565,Younghoe Koo,ATL,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.6,129.0
197,22108,Tyler Bass,BUF,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.6,129.0
198,19017,Josh Reynolds,DET,WR,17,0,0,0,0,0,40,608,5,0,0,0,0,7.6,128.8
199,20051,Zach Sieler,MIA,DT,17,0,0,0,0,0,0,0,0,10,1,1,2,7.6,128.7
200,21861,Antonio Gibson,WAS,RB,16,0,0,0,265,1,48,389,2,0,0,0,0,8.0,127.4
201,24423,Jake Moody,SF,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.5,127.0
202,16656,Logan Thomas,WAS,TE,16,0,0,0,2,0,55,496,4,0,0,0,0,7.9,126.8
